Optical Parameter Monitor 7.0.5319.1035

Power Meter,PM100D
Power Meter SN,P0046669
Sensor,S120C
Sensor SN,250305506
Sensor Type,Photodiode
Wavelength,532 nm
Range,Auto,range changed during the measurement.

Start of Measurement,2/2/2026 14:18:17
Elapsed Time,00:00:09:974
Samples,1693

--Statistics--
Minimum [W],7.7399E-05
Maximum [W],0.00012807
Mean [W],0.00011702
Standard Deviation [W],2.0368E-05
Ratio,1.655 : 1

--Graph Data--
Time (ms),Power (W)
3203.000,0.00012763
3206.000,0.00012764
3209.000,0.00012761
3213.000,0.00012756
3216.000,0.00012752
3219.000,0.00012751
3222.000,0.00012752
3225.000,0.00012753
3251.000,0.00012752
3254.000,0.00012774
3257.000,0.00012774
3260.000,0.00012772
3264.000,0.00012767
3267.000,0.00012767
3271.000,0.00012762
3274.000,0.00012762
3277.000,0.00012761
3302.000,0.0001278
3306.000,0.0001278
3309.000,0.00012781
3312.000,0.00012781
3316.000,0.00012779
3319.000,0.00012776
3322.000,0.00012774
3325.000,0.00012769
3332.000,0.00012769
3338.000,0.00012768
3341.000,0.00012769
3344.000,0.00012775
3348.000,0.0001278
3351.000,0.00012783
3354.000,0.00012786
3357.000,0.00012788
3361.000,0.00012788
3364.000,0.0001279
3367.000,0.00012789
3370.000,0.00012788
3374.000,0.00012781
3377.000,0.00012781
3404.000,0.00012786
3408.000,0.00012786
3411.000,0.00012786
3414.000,0.00012786
3418.000,0.00012786
3421.000,0.00012785
3425.000,0.0001278
3452.000,0.00012776
3455.000,0.00012776
3459.000,0.0001278
3462.000,0.00012779
3465.000,0.00012777
3469.000,0.00012781
3472.000,0.0001278
3476.000,0.00012775
3501.000,0.00012767
3514.000,0.00012761
3518.000,0.00012764
3521.000,0.00012766
3525.000,0.00012765
3552.000,0.00012763
3556.000,0.00012746
3559.000,0.00012751
3563.000,0.00012753
3567.000,0.00012757
3570.000,0.00012761
3574.000,0.00012761
3577.000,0.00012762
3605.000,0.00012748
3612.000,0.00012752
3615.000,0.00012759
3619.000,0.00012764
3622.000,0.00012766
3626.000,0.00012772
3630.000,0.00012772
3634.000,0.00012772
3637.000,0.0001277
3640.000,0.00012764
3643.000,0.00012762
3647.000,0.0001276
3650.000,0.00012759
3654.000,0.00012759
3657.000,0.00012757
3661.000,0.0001276
3664.000,0.00012765
3668.000,0.00012768
3671.000,0.00012773
3675.000,0.00012776
3701.000,0.00012779
3704.000,0.00012769
3708.000,0.00012769
3711.000,0.0001277
3715.000,0.00012772
3719.000,0.00012779
3723.000,0.00012781
3726.000,0.00012783
3753.000,0.00012785
3759.000,0.0001277
3763.000,0.00012767
3766.000,0.00012769
3770.000,0.00012772
3773.000,0.00012777
3777.000,0.00012779
3802.000,0.00012779
3806.000,0.00012782
3809.000,0.00012776
3813.000,0.00012772
3816.000,0.0001277
3820.000,0.00012772
3823.000,0.00012772
3827.000,0.0001278
3852.000,0.00012781
3856.000,0.0001278
3859.000,0.00012771
3865.000,0.00012764
3869.000,0.00012766
3873.000,0.00012768
3876.000,0.0001277
3901.000,0.00012771
3905.000,0.0001278
3908.000,0.00012779
3912.000,0.00012775
3915.000,0.00012769
3918.000,0.00012765
3922.000,0.00012764
3926.000,0.00012765
3932.000,0.00012769
3936.000,0.00012776
3939.000,0.00012779
3943.000,0.00012784
3947.000,0.0001278
3950.000,0.00012779
3953.000,0.00012779
3956.000,0.00012773
3960.000,0.00012768
3963.000,0.00012763
3966.000,0.00012762
3970.000,0.00012764
3973.000,0.00012759
3976.000,0.00012758
4002.000,0.00012757
4006.000,0.00012769
4010.000,0.00012761
4013.000,0.00012761
4016.000,0.00012757
4020.000,0.00012756
4023.000,0.00012754
4026.000,0.00012749
4052.000,0.00012749
4056.000,0.00012768
4059.000,0.00012771
4062.000,0.00012767
4065.000,0.00012765
4069.000,0.00012761
4072.000,0.0001276
4075.000,0.00012764
4101.000,0.00012762
4104.000,0.00012772
4108.000,0.00012776
4111.000,0.00012776
4122.000,0.00012767
4125.000,0.00012766
4153.000,0.00012764
4156.000,0.00012781
4159.000,0.00012781
4163.000,0.00012782
4166.000,0.0001278
4170.000,0.00012779
4173.000,0.00012774
4203.000,0.00012785
4211.000,0.00012785
4214.000,0.00012792
