Optical Parameter Monitor 7.0.5319.1035

Power Meter,PM100D
Power Meter SN,P0046669
Sensor,S120C
Sensor SN,250305506
Sensor Type,Photodiode
Wavelength,532 nm
Range,Auto,range changed during the measurement.

Start of Measurement,2/2/2026 13:24:27
Elapsed Time,00:00:09:999
Samples,1694

--Statistics--
Minimum [W],0.00050163
Maximum [W],0.00092187
Mean [W],0.00085604
Standard Deviation [W],9.4286E-05
Ratio,1.838 : 1

--Graph Data--
Time (ms),Power (W)
2320.000,0.00087755
2323.000,0.00087768
2349.000,0.00087778
2353.000,0.00087918
2356.000,0.00087974
2360.000,0.00088019
2363.000,0.00088091
2366.000,0.00088114
2370.000,0.00088133
2373.000,0.00088153
2402.000,0.00088205
2405.000,0.00088238
2408.000,0.00088286
2412.000,0.00088348
2416.000,0.00088417
2419.000,0.00088443
2422.000,0.00088446
2448.000,0.00088466
2451.000,0.00088531
2455.000,0.00088567
2458.000,0.00088567
2464.000,0.00088655
2467.000,0.00088717
2470.000,0.00088743
2474.000,0.00088801
2501.000,0.00088938
2505.000,0.00088971
2508.000,0.00088981
2511.000,0.00088984
2515.000,0.00089039
2520.000,0.00089101
2524.000,0.00089143
2528.000,0.00089163
2531.000,0.00089176
2535.000,0.00089192
2538.000,0.00089218
2541.000,0.00089218
2544.000,0.00089196
2548.000,0.00089183
2551.000,0.00089183
2555.000,0.0008915
2558.000,0.00089173
2561.000,0.00089179
2565.000,0.00089173
2568.000,0.00089212
2571.000,0.00089238
2599.000,0.00089297
2603.000,0.00089329
2606.000,0.00089359
2609.000,0.00089339
2613.000,0.00089326
2616.000,0.00089329
2619.000,0.00089355
2623.000,0.00089394
2649.000,0.00089417
2653.000,0.00089453
2656.000,0.00089463
2659.000,0.00089466
2663.000,0.00089476
2666.000,0.00089486
2669.000,0.00089473
2672.000,0.00089473
2699.000,0.00089518
2703.000,0.00089541
2706.000,0.00089551
2709.000,0.00089544
2713.000,0.00089561
2716.000,0.0008959
2721.000,0.0008957
2748.000,0.0008959
2752.000,0.00089622
2755.000,0.00089596
2759.000,0.00089616
2762.000,0.00089583
2765.000,0.00089613
2769.000,0.00089613
2800.000,0.0008958
2804.000,0.00089642
2807.000,0.00089626
2810.000,0.00089639
2814.000,0.00089655
2818.000,0.00089652
2821.000,0.00089619
2825.000,0.00089632
2829.000,0.00089609
2832.000,0.00089606
2836.000,0.00089593
2839.000,0.00089596
2843.000,0.0008957
2846.000,0.00089596
2849.000,0.00089609
2853.000,0.00089616
2856.000,0.00089639
2860.000,0.00089658
2863.000,0.00089662
2866.000,0.00089671
2870.000,0.00089632
2873.000,0.00089626
2899.000,0.0008959
2903.000,0.00089583
2907.000,0.0008957
2910.000,0.00089551
2913.000,0.0008958
2917.000,0.00089583
2920.000,0.00089518
2924.000,0.00089518
2949.000,0.00089342
2954.000,0.00089372
2957.000,0.00089362
2960.000,0.00089385
2964.000,0.00089411
2967.000,0.00089394
2970.000,0.00089427
2999.000,0.00089385
3003.000,0.00089261
3006.000,0.00089267
3009.000,0.00089241
3013.000,0.00089323
3016.000,0.00089323
3019.000,0.00089359
3023.000,0.00089346
3052.000,0.00089271
3055.000,0.00089238
3058.000,0.00089258
3061.000,0.00089274
3065.000,0.00089271
3068.000,0.00089323
3071.000,0.00089326
3099.000,0.00089346
3102.000,0.00089202
3106.000,0.00089205
3109.000,0.00089192
3112.000,0.00089225
3115.000,0.00089222
3118.000,0.00089225
3121.000,0.00089235
3125.000,0.00089264
3128.000,0.00089287
3132.000,0.00089284
3135.000,0.0008931
3138.000,0.000893
3142.000,0.00089313
3145.000,0.00089284
3148.000,0.00089251
3152.000,0.00089215
3155.000,0.0008917
3158.000,0.00089192
3162.000,0.0008917
3165.000,0.00089192
3168.000,0.00089166
3172.000,0.00089199
3200.000,0.00089261
3204.000,0.00089147
3207.000,0.00089108
3211.000,0.00089104
3214.000,0.00089108
3217.000,0.00089078
3221.000,0.00089069
3247.000,0.00089082
3250.000,0.00089183
3255.000,0.00089104
3258.000,0.00089069
3261.000,0.00089046
3264.000,0.00089088
3267.000,0.00089069
3270.000,0.00089059
3274.000,0.00089078
3300.000,0.000893
3307.000,0.00089186
3310.000,0.00089143
3314.000,0.00089114
3317.000,0.00089134
3321.000,0.00089134
3348.000,0.0008913
3351.000,0.00089443
3354.000,0.00089424
3367.000,0.00089323
3370.000,0.00089352
3399.000,0.00089372
3402.000,0.00089733
3406.000,0.00089714
3409.000,0.00089691
3412.000,0.00089668
3415.000,0.00089649
3419.000,0.00089655
3422.000,0.00089684
3426.000,0.00089697
3429.000,0.00089737
3432.000,0.00089782
3436.000,0.00089834
3439.000,0.00089926
3443.000,0.00089955
3446.000,0.00090004
3449.000,0.00090023
3452.000,0.00090043
3456.000,0.00090102
3460.000,0.00090115
3463.000,0.00090085
3467.000,0.00090088
3470.000,0.00090102
3498.000,0.00090115
3502.000,0.00090502
3506.000,0.00090577
3509.000,0.0009059
3512.000,0.00090607
3516.000,0.00090561
3519.000,0.0009061
3523.000,0.00090594
3548.000,0.00090581
3553.000,0.00090897
3556.000,0.00090939
3562.000,0.00090972
3565.000,0.0009103
3568.000,0.00091017
3572.000,0.00091014
3601.000,0.00090929
3605.000,0.00091177
3608.000,0.00091219
3612.000,0.00091268
3615.000,0.00091252
3618.000,0.00091265
3622.000,0.00091265
3648.000,0.00091226
3651.000,0.00091255
3655.000,0.00091317
3658.000,0.0009134
3661.000,0.00091412
3664.000,0.00091425
3668.000,0.00091405
3672.000,0.00091441
3698.000,0.00091421
3701.000,0.00091454
3704.000,0.0009146
3708.000,0.00091548
3711.000,0.00091581
3714.000,0.00091656
3718.000,0.00091666
3721.000,0.00091692
3725.000,0.00091689
3728.000,0.00091698
3735.000,0.00091643
3738.000,0.00091614
3741.000,0.00091594
3745.000,0.00091607
3749.000,0.00091578
3752.000,0.00091601
3755.000,0.00091643
3758.000,0.00091682
3762.000,0.00091734
3765.000,0.0009177
3768.000,0.00091783
3772.000,0.00091767
3800.000,0.00091819
3804.000,0.00091666
3807.000,0.00091682
3811.000,0.00091767
3817.000,0.00091855
3821.000,0.00091874
3847.000,0.0009191
3850.000,0.00091776
3854.000,0.00091763
3858.000,0.0009176
3862.000,0.00091806
3865.000,0.00091861
3868.000,0.0009193
3872.000,0.00091966
3898.000,0.00092008
3902.000,0.00091851
3905.000,0.00091848
3908.000,0.00091848
3912.000,0.00091868
3916.000,0.00091881
3919.000,0.00091962
3922.000,0.00091998
3949.000,0.0009206
3953.000,0.00091949
3956.000,0.00091949
3959.000,0.00091923
3963.000,0.00091936
3966.000,0.00091946
3970.000,0.00091988
3999.000,0.00092086
4002.000,0.00091975
4005.000,0.00091949
4008.000,0.00091952
4012.000,0.00091926
4015.000,0.00091868
4018.000,0.00091871
4021.000,0.00091939
4025.000,0.00092011
4028.000,0.00092096
4032.000,0.00092158
4035.000,0.00092128
4039.000,0.00092151
4042.000,0.00092168
4045.000,0.00092187
4048.000,0.00092135
4052.000,0.00092073
4055.000,0.00092005
4058.000,0.00091982
4062.000,0.00091998
4065.000,0.00091985
4071.000,0.00091949
4096.000,0.00091998
4100.000,0.00092102
4104.000,0.00092057
4107.000,0.00092005
4110.000,0.00091995
4113.000,0.00091992
4116.000,0.00091956
4119.000,0.00091923
4122.000,0.00091917
4148.000,0.00091926
4152.000,0.00092122
4156.000,0.00092083
4159.000,0.00092031
4162.000,0.00091975
4166.000,0.00091966
4169.000,0.0009191
4172.000,0.00091858
4202.000,0.00091829
4205.000,0.00091992
4208.000,0.00091966
4212.000,0.00091881
4215.000,0.00091845
4218.000,0.00091799
4222.000,0.00091767
4248.000,0.00091728
4251.000,0.00091923
4254.000,0.0009193
4265.000,0.00091904
